,date,close,volume,volume_avg,trade_flag,shadow_sum,fee,num,dPrice,sum,dTime,dCode,cash,val,secVal,margin_ratio,open_num,trade_way,pos_num
TF.CFE,2016-11-10 10:00:00,101.18,367.0,403.0,0,0,0.0,50000.0,101.18,5059000.0,2016-11-10 10:00:00,TF.CFE,6265050.0,1206550.0,-5058500.0,0.0,44,多平,1
TF.CFE,2016-11-15 09:30:00,100.685,1373.0,489.0,1,1,40,50000.0,100.685,5034250.0,2016-11-15 09:30:00,TF.CFE,1206050.0,1206050.0,0,0.0,45,多开,1
TF.CFE,2016-11-16 10:00:00,100.82,535.0,494.2,0,0,0.0,-50000.0,100.82,-5041000.0,2016-11-16 10:00:00,TF.CFE,-3828240.0,1211510.0,5039750.0,0.0,45,多平,1
TF.CFE,2016-12-14 13:15:00,98.785,1608.0,553.0,1,1,40,50000.0,98.785,4939250.0,2016-12-14 13:15:00,TF.CFE,1212760.0,1212760.0,0,0.0,46,多开,1
TF.CFE,2016-12-15 10:00:00,97.56,213.0,1263.8,0,0,0.0,-50000.0,97.56,-4878000.0,2016-12-15 10:00:00,TF.CFE,-3726530.0,1151470.0,4878000.0,0.0,46,多平,1
TF.CFE,2016-12-16 09:30:00,97.76,2832.0,1123.8,1,1,40,50000.0,97.76,4888000.0,2016-12-16 09:30:00,TF.CFE,1151470.0,1151470.0,0,0.0,47,多开,1
TF.CFE,2016-12-19 10:00:00,97.89,1071.0,1977.8,0,0,0.0,-50000.0,97.89,-4894500.0,2016-12-19 10:00:00,TF.CFE,-3736570.0,1151680.0,4888250.0,0.0,47,多平,1
TF.CFE,2016-12-20 09:30:00,97.165,4562.0,1931.8,1,1,40,50000.0,97.165,4858250.0,2016-12-20 09:30:00,TF.CFE,1157930.0,1157930.0,0,0.0,48,多开,1
TF.CFE,2016-12-21 10:00:00,98.16,1002.0,1634.0,0,0,0.0,-50000.0,98.16,-4908000.0,2016-12-21 10:00:00,TF.CFE,-3700360.0,1213890.0,4914250.0,0.0,48,多平,1
TF.CFE,2016-12-29 09:30:00,99.435,3628.0,1258.8,1,-1,40,-50000.0,99.435,-4971750.0,2016-12-29 09:30:00,TF.CFE,1207640.0,1207640.0,0,0.0,49,多开,1
TF.CFE,2016-12-30 10:00:00,99.595,365.0,651.2,0,0,0.0,50000.0,99.595,4979750.0,2016-12-30 10:00:00,TF.CFE,6179350.0,1201350.0,-4978000.0,0.0,49,多平,1
TF.CFE,2017-02-03 09:30:00,97.81,412.0,190.4,1,-1,40,-50000.0,97.81,-4890500.0,2017-02-03 09:30:00,TF.CFE,1199600.0,1199600.0,0,0.0,50,多开,1
TF.CFE,2017-02-06 10:00:00,97.535,133.0,297.8,0,0,0.0,50000.0,97.535,4876750.0,2017-02-06 10:00:00,TF.CFE,6090060.0,1211310.0,-4878750.0,0.0,50,多平,1
TF.CFE,2017-02-07 09:30:00,97.515,850.0,387.0,1,1,40,50000.0,97.515,4875750.0,2017-02-07 09:30:00,TF.CFE,1213310.0,1213310.0,0,0.0,51,多开,1
TF.CFE,2017-02-08 10:00:00,97.745,650.0,556.6,0,0,0.0,-50000.0,97.745,-4887250.0,2017-02-08 10:00:00,TF.CFE,-3662480.0,1224770.0,4887250.0,0.0,51,多平,1
TF.CFE,2017-02-20 09:30:00,98.66,1219.0,551.2,1,-1,40,-50000.0,98.66,-4933000.0,2017-02-20 09:30:00,TF.CFE,1224770.0,1224770.0,0,0.0,52,多开,1
TF.CFE,2017-02-21 10:00:00,98.615,612.0,799.6,0,0,0.0,50000.0,98.615,4930750.0,2017-02-21 10:00:00,TF.CFE,6157730.0,1227230.0,-4930500.0,0.0,52,多平,1
TF.CFE,2017-03-31 14:45:00,99.18,1328.0,577.8,1,1,40,50000.0,99.18,4959000.0,2017-03-31 14:45:00,TF.CFE,1226980.0,1226980.0,0,0.0,53,多开,1
TF.CFE,2017-04-05 10:00:00,99.38,596.0,593.8,0,0,0.0,-50000.0,99.38,-4969000.0,2017-04-05 10:00:00,TF.CFE,-3732060.0,1234440.0,4966500.0,0.0,53,多平,1
TF.CFE,2017-04-13 14:30:00,98.98,2067.0,701.8,1,1,40,50000.0,98.98,4949000.0,2017-04-13 14:30:00,TF.CFE,1236940.0,1236940.0,0,0.0,54,多开,1
TF.CFE,2017-04-14 10:00:00,98.99,430.0,449.6,0,0,0.0,-50000.0,98.99,-4949500.0,2017-04-14 10:00:00,TF.CFE,-3712100.0,1239400.0,4951500.0,0.0,54,多平,1
